n;nombre_cientifico;categoria;criterio
1;Acarospora altoandina;Datos insuficientes (DD) ;--
2;Acarospora bullata;Preocupación menor (LC);--
3;Acarospora lorentzii;Preocupación menor (LC);--
4;Acarospora rhabarbarina;Datos insuficientes (DD) ;--
5;Brigantiaea fuscolutea;Preocupación menor (LC);--
6;Caloplaca cerina;Preocupación menor (LC);--
7;Caloplaca chilensis;Preocupación menor (LC);--
8;Caloplaca tucumanensis;Casi amenazada (NT);NT   [Rebajado desde  Vulnerable (VU) B1ab(iii)+2ab(iii)]
9;Candelaria concolor;Preocupación menor (LC);--
10;Candelariella reflexa ;Preocupación menor (LC);--
11;Candelariella vitellina;Preocupación menor (LC);--
12;Canoparmelia austroamericana;En peligro (EN);EN B1ab(iii)+2ab(iii)
13;Chlamydopus meyenianus;Preocupación menor (LC);--
14;Chrysothrix granulosa;Preocupación menor (LC);--
15;Chrysothrix pavonii ;Preocupación menor (LC);--
16;Cladonia gracilis;Preocupación menor (LC);--
17;Cladonia macilenta;Preocupación menor (LC);--
18;Cora glabrata ;Datos insuficientes (DD) ;--
19;Erioderma leylandii;Preocupación menor (LC);--
20;Erioderma sorediatum;Preocupación menor (LC);--
21;Everniopsis trulla;En peligro (EN);EN B2ab(iii)
22;Flavoparmelia caperata;Preocupación menor (LC);--
23;Flavoplaca flavocitrina;Preocupación menor (LC);--
24;Follmannia orthoclada;Preocupación menor (LC);--
25;Graphis scripta;Datos insuficientes (DD) ;--
26;Gymnopanella nothofagi ;Vulnerable (VU);Vulnerable (VU) B1ab(iii)+2ab(iii)
27;Haematomma fenzlianum;Casi amenazada (NT);[Rebajada desde  (VU) D2]
28;Hyperphyscia adglutinata;Preocupación menor (LC);--
29;Josefpoeltia sorediosa;Preocupación menor (LC);--
30;Lecanora epybrion;Preocupación menor (LC);--
31;Megalaria grossa;Preocupación menor (LC);--
32;Melanelia zoopheroa ;En peligro (EN);EN B1ab(iii)+2ab(iii)
33;Menegazzia neozelandica;Preocupación menor (LC);--
34;Myriolecis dispersa ;Preocupación menor (LC);--
35;Oropogon lorolobic;En peligro crítico (CR);CR B1ab(iii)+2ab(iii)
36;Parmotrema reticulatum ;Preocupación menor (LC);--
37;Pertusaria leioplaca;Preocupación menor (LC);--
38;Physcia adscendens;Preocupación menor (LC);--
39;Physcia biziana;Vulnerable (VU);[Rebajado desde EN B2ab(iii)]
40;Physcia caesia;Preocupación menor (LC);--
41;Physcia undulata;Preocupación menor (LC);--
42;Physconia muscigena;Preocupación menor (LC);--
43;Platismatia glauca;Preocupación menor (LC);--
44;Polycauliona ascendens;Preocupación menor (LC);--
45;Polycauliona kaernefeltii;Preocupación menor (LC);--
46;Protousnea magellanica;Preocupación menor (LC);--
47;Protousnea poeppigii;Preocupación menor (LC);--
48;Pseudocyphellaria aurata;Vulnerable (VU);(VU) [Rebajada desde EN B1ab(iii)+2ab(iii)]
49;Pseudocyphellaria bartlettii;"En peligro (EN; XV-V),
Preocupación menor (LC) (VI-XII)";"EN [Rebajado desde CR B1ab(iii)+2ab(iii)] (XV-V),
-- (VI-XII)"
50;Pseudocyphellaria berteroana;En peligro (EN);CR B1ab(iii)+2ab(iii)
51;Pseudocyphellaria crocata;Datos insuficientes (DD) ;--
52;Pseudocyphellaria dissimilis;Preocupación menor (LC);--
53;Pseudocyphellaria divulsa;Datos insuficientes (DD) ;--
54;Pseudocyphellaria dubia;Preocupación menor (LC);--
55;Pseudocyphellaria flavicans;Datos insuficientes (DD) ;--
56;Pseudocyphellaria guzmanii;Datos insuficientes (DD) ;--
57;Pseudocyphellaria guzmanii;En peligro (EN);EN B1ab(iii)+2ab(iii)
58;Pseudocyphellaria hirsuta;Datos insuficientes (DD) ;--
59;Pseudocyphellaria imbricatula;En peligro (EN);EN B1ab(iii)+2ab(iii)
60;Pseudocyphellaria imshaugii;En peligro (EN);EN B1ab(iii)+2ab(iii)
61;Pseudocyphellaria intricata;Preocupación menor (LC);--
62;Pseudocyphellaria mooreana;En peligro (EN);EN B1ab(iii)+2ab(iii)
63;Pseudocyphellaria neglecta;Preocupación menor (LC);--
64;Pseudocyphellaria nitida;Preocupación menor (LC);--
65;Pseudocyphellaria pluvialis;Datos insuficientes (DD) ;--
66;Pseudocyphellaria richardii;Datos insuficientes (DD) ;--
67;Pseudocyphellaria skottsbergii;En peligro crítico (CR);CR B1ab(iii)+2ab(iii)
68;Pseudocyphellaria valdiviana;Datos insuficientes (DD) ;--
69;Pseudocyphellaria wandae;Datos insuficientes (DD) ;--
70;Psoroma polychidioides ;Preocupación menor (LC);--
71;Pterygiopsis foliacea;Datos insuficientes (DD) ;--
72;Punctelia reddenda;Preocupación menor (LC);--
73;Punctelia subredecta;Preocupación menor (LC);--
74;Ramalina striatula;Preocupación menor (LC);--
75;Redonia chilena;En peligro (EN);EN B1ab(iii)+2ab(iii)
76;Rhizoplaca aspidophora;"En peligro (EN; Chile continental sudamericano),
Preocupación menor (LC; Chile continental antártico)";"EN B1ab(iii)+2ab(iii) (Chile continental sudamericano);
-- (Chile continental antártico)"
77;Rhizoplaca chrysoleuca;Preocupación menor (LC);--
78;Rhizoplaca melanophthalma;Preocupación menor (LC);--
79;Roccellina cerebriformis;Preocupación menor (LC);--
80;Roccellina mollis ;Vulnerable (VU);(VU) B2ab(iii)
81;Roccellina portentosa ;Preocupación menor (LC);--
82;Roccellinastrum spongoideum;Vulnerable (VU); (VU) B1ab(iii)+2ab(iii)
83;Santessonia cervicornis;En peligro crítico (CR);CR B1ab(iii)+2ab(iii)
84;Teloschistes chrysophthalmus;Preocupación menor (LC);--
85;Teloschistes flavicans;Preocupación menor (LC);--
86;Umbilicaria polyphylla;"DD (Chile continental sudamericano),
Preocupación menor (LC; Chile continental antártico)";"-- (Chile continental sudamericano), 
-- (Chile continental antártico)"
87;Usnea aurantiaco-atra ;Preocupación menor (LC);--
88;Varicellaria velata;Preocupación menor (LC);--
89;Xanthomendoza mendozae;Preocupación menor (LC);--
90;Xanthoparmelia farinosa;Preocupación menor (LC);--
91;Xanthopeltis rupicola;Casi amenazada (NT);--
