"";"ScientificName";"TaxonKey"
"1";"Acarospora altoandina";3413963
"2";"Acarospora bullata";2600497
"3";"Acarospora lorentzii";3414397
"4";"Acarospora rhabarbarina";2600553
"5";"Brigantiaea fuscolutea";3393319
"6";"Caloplaca cerina";7251342
"7";"Caloplaca chilensis";3431215
"8";"Caloplaca tucumanensis";2599921
"9";"Candelaria concolor";8732724
"10";"Candelariella reflexa ";2599886
"11";"Candelariella vitellina";7086670
"12";"Canoparmelia austroamericana";3408778
"13";"Chlamydopus meyenianus";2535101
"14";"Chrysothrix granulosa";5258344
"15";"Chrysothrix pavonii ";NA
"16";"Cladonia gracilis";2607596
"17";"Cladonia macilenta";7246716
"18";"Cora glabrata ";5239365
"19";"Erioderma leylandii";2601261
"20";"Erioderma sorediatum";2601265
"21";"Everniopsis trulla";8540940
"22";"Flavoparmelia caperata";2606178
"23";"Flavoplaca flavocitrina";8591446
"24";"Follmannia orthoclada";9725555
"25";"Graphis scripta";7249709
"26";"Gymnopanella nothofagi ";9753873
"27";"Haematomma fenzlianum";2607751
"28";"Hyperphyscia adglutinata";2609193
"29";"Josefpoeltia sorediosa";3431241
"30";"Lecanora epybrion";2606966
"31";"Megalaria grossa";2608759
"32";"Melanelia zoopheroa ";3410707
"33";"Menegazzia neozelandica";3408909
"34";"Myriolecis dispersa ";9460591
"35";"Oropogon lorolobic";3408805
"36";"Parmotrema reticulatum ";6017788
"37";"Pertusaria leioplaca";7250842
"38";"Physcia adscendens";7251037
"39";"Physcia biziana";2608939
"40";"Physcia caesia";2608920
"41";"Physcia undulata";2608902
"42";"Physconia muscigena";2609428
"43";"Platismatia glauca";2605342
"44";"Polycauliona ascendens";7559532
"45";"Polycauliona kaernefeltii";9693921
"46";"Protousnea magellanica";3409351
"47";"Protousnea poeppigii";3409346
"48";"Pseudocyphellaria aurata";2601468
"49";"Pseudocyphellaria bartlettii";2601471
"50";"Pseudocyphellaria berteroana";3421110
"51";"Pseudocyphellaria crocata";2601424
"52";"Pseudocyphellaria dissimilis";2601499
"53";"Pseudocyphellaria divulsa";3420888
"54";"Pseudocyphellaria dubia";7086454
"55";"Pseudocyphellaria flavicans";3420971
"56";"Pseudocyphellaria guzmanii";3420828
"57";"Pseudocyphellaria guzmanii";3420828
"58";"Pseudocyphellaria hirsuta";7086413
"59";"Pseudocyphellaria imbricatula";3420908
"60";"Pseudocyphellaria imshaugii";3420818
"61";"Pseudocyphellaria intricata";7250256
"62";"Pseudocyphellaria mooreana";3421079
"63";"Pseudocyphellaria neglecta";2601489
"64";"Pseudocyphellaria nitida";7250252
"65";"Pseudocyphellaria pluvialis";3420871
"66";"Pseudocyphellaria richardii";6018171
"67";"Pseudocyphellaria skottsbergii";3420791
"68";"Pseudocyphellaria valdiviana";3420847
"69";"Pseudocyphellaria wandae";3420797
"70";"Psoroma polychidioides ";7435861
"71";"Pterygiopsis foliacea";2587034
"72";"Punctelia reddenda";2605220
"73";"Punctelia subredecta";2605209
"74";"Ramalina striatula";3395415
"75";"Redonia chilena";5478465
"76";"Rhizoplaca aspidophora";3397857
"77";"Rhizoplaca chrysoleuca";2606705
"78";"Rhizoplaca melanophthalma";2606703
"79";"Roccellina cerebriformis";3545981
"80";"Roccellina mollis ";3546015
"81";"Roccellina portentosa ";3545990
"82";"Roccellinastrum spongoideum";3402343
"83";"Santessonia cervicornis";7087760
"84";"Teloschistes chrysophthalmus";3429410
"85";"Teloschistes flavicans";2609981
"86";"Umbilicaria polyphylla";5260484
"87";"Usnea aurantiaco-atra ";7248058
"88";"Varicellaria velata";7186800
"89";"Xanthomendoza mendozae";2609940
"90";"Xanthoparmelia farinosa";2603781
"91";"Xanthopeltis rupicola";2610208
